iter	Passed	Remaining
290	5341	13013
291	5360	12997
292	5377	12976
293	5395	12957
294	5414	12939
295	5431	12918
296	5449	12900
297	5467	12880
298	5488	12868
299	5510	12857
300	5527	12837
301	5546	12820
302	5566	12804
303	5586	12790
304	5607	12777
305	5626	12760
306	5644	12741
307	5664	12727
308	5684	12711
309	5729	12752
310	5750	12740
311	5767	12718
312	5783	12694
313	5803	12678
314	5823	12663
315	5839	12640
316	5856	12618
317	5874	12598
318	5891	12576
319	5908	12554
320	5925	12534
321	5941	12510
322	5957	12486
323	5975	12466
324	5996	12454
325	6016	12439
326	6034	12419
327	6050	12396
328	6068	12376
329	6086	12357
330	6101	12332
331	6119	12312
332	6136	12292
333	6153	12270
334	6169	12247
335	6187	12226
336	6205	12209
337	6225	12194
338	6242	12172
339	6260	12153
340	6278	12132
341	6296	12115
342	6315	12097
343	6332	12075
344	6349	12054
345	6366	12034
346	6385	12015
347	6401	11993
348	6419	11974
349	6436	11953
350	6452	11931
351	6470	11910
352	6486	11889
353	6503	11867
354	6521	11848
355	6538	11828
356	6554	11805
357	6571	11785
358	6589	11764
359	6606	11745
360	6625	11727
361	6641	11705
362	6656	11681
363	6672	11659
364	6689	11638
365	6706	11617
366	6723	11596
367	6741	11577
368	6759	11558
369	6776	11538
370	6790	11513
371	6807	11491
372	6826	11475
373	6843	11453
374	6859	11432
375	6876	11411
376	6893	11391
377	6911	11373
378	6929	11354
379	6945	11332
380	6963	11313
381	6981	11294
382	6998	11274
383	7015	11253
384	7030	11230
385	7048	11211
386	7066	11192
387	7082	11170
388	7099	11150
389	7117	11131
390	7134	11112
391	7154	11097
392	7172	11078
393	7189	11058
394	7207	11039
395	7225	11020
396	7245	11005
397	7263	10986
398	7288	10979
399	7308	10962
400	7326	10944
401	7345	10927
402	7363	10908
403	7381	10889
404	7397	10868
405	7415	10849
406	7435	10833
407	7452	10814
408	7473	10798
409	7491	10780
410	7509	10762
411	7526	10742
412	7546	10725
413	7562	10704
414	7580	10685
415	7597	10665
416	7613	10644
417	7630	10623
418	7647	10604
419	7665	10585
420	7682	10565
421	7697	10543
422	7713	10522
423	7731	10502
424	7750	10485
425	7767	10465
426	7785	10447
427	7802	10427
428	7819	10407
429	7836	10387
430	7851	10365
431	7868	10345
432	7886	10326
433	7903	10307
434	7920	10287
435	7936	10266
436	7952	10245
437	7969	10226
438	7986	10205
439	8005	10188
440	8022	10169
441	8041	10152
442	8059	10132
443	8076	10114
444	8095	10096
445	8116	10082
446	8139	10069
447	8166	10061
448	8189	10049
449	8212	10037
450	8227	10014
451	8245	9996
452	8272	9989
453	8300	9982
454	8329	9976
455	8346	9956
456	8364	9938
457	8381	9918
458	8399	9899
459	8419	9883
460	8439	9867
461	8460	9852
462	8478	9833
463	8495	9814
464	8513	9794
465	8530	9775
466	8549	9757
467	8569	9741
468	8586	9721
469	8606	9705
470	8625	9687
471	8644	9670
472	8663	9652
473	8702	9657
474	8744	9664
475	8766	9650
476	8784	9631
477	8808	9619
478	8826	9600
479	8847	9584
480	8864	9564
481	8882	9545
482	8898	9524
483	8915	9504
484	8932	9485
485	8949	9464
486	8966	9445
487	8983	9424
488	9001	9406
489	9017	9385
490	9032	9363
491	9050	9345
492	9068	9325
493	9088	9309
494	9105	9289
495	9125	9272
496	9144	9254
497	9162	9236
498	9180	9217
499	9195	9195
500	9215	9178
501	9234	9160
502	9251	9140
503	9267	9120
504	9285	9101
505	9304	9083
506	9319	9062
507	9336	9042
508	9351	9020
509	9369	9001
510	9385	8981
511	9405	8964
512	9425	8947
513	9445	8930
514	9460	8909
515	9476	8888
516	9494	8870
517	9512	8851
518	9529	8831
519	9547	8813
520	9564	8793
521	9581	8773
522	9599	8755
523	9615	8734
524	9632	8714
525	9650	8696
526	9669	8678
527	9686	8658
528	9704	8640
529	9720	8620
530	9737	8600
531	9755	8581
532	9772	8562
533	9790	8543
534	9807	8524
535	9825	8505
536	9844	8488
537	9860	8467
538	9877	8448
539	9893	8427
540	9909	8407
541	9928	8389
542	9957	8380
543	9995	8378
544	10026	8370
545	10048	8355
546	10065	8335
547	10087	8320
548	10105	8301
549	10130	8288
550	10165	8283
551	10248	8317
552	10277	8307
553	10293	8286
554	10314	8270
555	10332	8251
556	10352	8233
557	10367	8211
558	10383	8191
559	10399	8170
560	10418	8152
561	10435	8133
562	10455	8115
563	10481	8102
564	10505	8088
565	10526	8071
566	10543	8051
567	10559	8031
568	10576	8011
569	10596	7993
570	10614	7974
571	10634	7957
572	10654	7939
573	10674	7921
574	10692	7903
575	10712	7885
576	10731	7867
577	10750	7848
578	10769	7830
579	10787	7811
580	10805	7792
581	10824	7774
582	10843	7755
583	10861	7736
584	10879	7717
585	10894	7697
586	10913	7678
587	10931	7659
588	10950	7640
589	10969	7622
590	10989	7605
591	11010	7588
592	11029	7569
593	11049	7552
594	11067	7533
595	11085	7514
596	11104	7495
597	11122	7476
598	11140	7458
599	11158	7438
600	11176	7419
601	11193	7400
602	11210	7380
603	11227	7361
604	11245	7341
605	11262	7322
606	11282	7304
607	11299	7285
608	11316	7265
609	11334	7246
610	11351	7227
611	11368	7207
612	11384	7187
613	11403	7168
614	11420	7149
615	11435	7128
616	11451	7108
617	11466	7087
618	11483	7068
619	11500	7048
620	11517	7029
621	11535	7010
622	11552	6990
623	11568	6970
624	11585	6951
625	11599	6930
626	11617	6911
627	11635	6892
628	11652	6872
629	11669	6853
630	11685	6833
631	11702	6814
632	11722	6796
633	11740	6777
634	11756	6757
635	11771	6737
636	11786	6716
637	11799	6695
638	11818	6677
639	11838	6659
640	11856	6640
641	11878	6623
642	11897	6605
643	11913	6585
644	11929	6565
645	11943	6544
646	11959	6524
647	11977	6506
648	11996	6488
649	12014	6469
650	12031	6450
651	12049	6431
652	12066	6411
653	12082	6392
654	12100	6373
655	12119	6355
656	12138	6337
657	12156	6318
658	12178	6301
659	12206	6288
660	12230	6272
661	12265	6262
662	12292	6248
663	12316	6232
664	12341	6217
665	12365	6201
666	12390	6185
667	12414	6170
668	12438	6154
669	12462	6138
670	12481	6119
671	12502	6102
672	12523	6084
673	12540	6065
674	12556	6045
675	12575	6027
676	12594	6008
677	12615	5991
678	12638	5974
679	12659	5957
680	12682	5940
681	12703	5923
682	12725	5906
683	12746	5888
684	12767	5871
685	12783	5851
686	12801	5832
687	12817	5812
688	12834	5793
689	12851	5774
690	12868	5754
691	12888	5736
692	12911	5719
693	12933	5702
694	12953	5684
695	12971	5665
696	12992	5647
697	13010	5629
698	13028	5610
699	13047	5591
700	13064	5572
701	13084	5554
702	13104	5536
703	13124	5518
704	13144	5500
705	13163	5481
706	13186	5464
707	13207	5446
708	13229	5429
709	13254	5413
710	13278	5397
711	13300	5379
712	13324	5363
713	13346	5346
714	13365	5327
715	13384	5308
716	13402	5289
717	13420	5270
718	13437	5251
719	13457	5233
720	13478	5215
721	13496	5196
722	13516	5178
723	13534	5159
724	13557	5142
725	13581	5125
726	13604	5108
727	13625	5090
728	13643	5071
729	13661	5052
730	13679	5034
731	13699	5015
732	13721	4998
733	13741	4979
734	13762	4961
735	13782	4943
736	13801	4925
737	13820	4906
738	13840	4888
739	13863	4870
740	13887	4853
741	13905	4835
742	13926	4816
743	13948	4799
744	13969	4781
745	13986	4762
746	14009	4744
747	14030	4726
748	14051	4708
749	14075	4691
750	14097	4674
751	14116	4655
752	14134	4636
753	14155	4618
754	14176	4600
755	14196	4582
756	14219	4564
757	14235	4544
758	14253	4525
759	14275	4508
760	14297	4490
761	14316	4471
762	14339	4454
763	14362	4436
764	14381	4417
765	14404	4400
766	14421	4380
767	14439	4361
768	14460	4343
769	14482	4325
770	14504	4308
771	14525	4289
772	14549	4272
773	14569	4254
774	14596	4237
775	14616	4219
776	14635	4200
777	14655	4182
778	14673	4162
779	14693	4144
780	14714	4126
781	14737	4108
782	14760	4090
783	14780	4072
784	14800	4053
785	14822	4035
786	14842	4017
787	14864	3999
788	14888	3981
789	14910	3963
790	14930	3945
791	14950	3926
792	14970	3907
793	14990	3889
794	15007	3869
795	15027	3851
796	15044	3831
797	15061	3812
798	15078	3793
799	15097	3774
800	15114	3754
801	15131	3735
802	15151	3717
803	15171	3698
804	15189	3679
805	15210	3661
806	15230	3642
807	15250	3623
808	15270	3605
809	15291	3586
810	15311	3568
811	15327	3548
812	15344	3529
813	15370	3512
814	15390	3493
815	15409	3474
816	15429	3456
817	15449	3437
818	15473	3419
819	15496	3401
820	15513	3382
821	15531	3363
822	15553	3344
823	15571	3326
824	15592	3307
825	15611	3288
826	15628	3269
827	15649	3250
828	15669	3232
829	15686	3212
830	15704	3193
831	15720	3174
832	15737	3155
833	15752	3135
834	15772	3116
835	15790	3097
836	15806	3078
837	15830	3060
838	15848	3041
839	15865	3021
840	15884	3003
841	15903	2984
842	15921	2965
843	15944	2947
844	15966	2928
845	15989	2910
846	16011	2892
847	16030	2873
848	16048	2854
849	16068	2835
850	16085	2816
851	16106	2797
852	16129	2779
853	16148	2760
854	16167	2741
855	16184	2722
856	16204	2703
857	16221	2684
858	16238	2665
859	16260	2647
860	16282	2628
861	16303	2610
862	16320	2590
863	16339	2571
864	16354	2552
865	16370	2533
866	16389	2514
867	16404	2494
868	16424	2475
869	16438	2456
870	16458	2437
871	16478	2418
872	16495	2399
873	16512	2380
874	16529	2361
875	16549	2342
876	16570	2324
877	16592	2305
878	16614	2287
879	16634	2268
880	16656	2249
881	16676	2231
882	16702	2213
883	16723	2194
884	16738	2175
885	16756	2156
886	16776	2137
887	16797	2118
888	16818	2099
889	16839	2081
890	16862	2062
891	16880	2043
892	16898	2024
893	16922	2006
894	16941	1987
895	16967	1969
896	16990	1950
897	17012	1932
898	17032	1913
899	17055	1895
900	17077	1876
901	17095	1857
902	17113	1838
903	17136	1819
904	17157	1801
905	17178	1782
906	17200	1763
907	17216	1744
908	17238	1725
909	17254	1706
910	17271	1687
911	17287	1668
912	17304	1648
913	17321	1629
914	17343	1611
915	17371	1592
916	17392	1574
917	17412	1555
918	17437	1536
919	17476	1519
920	17500	1501
921	17521	1482
922	17543	1463
923	17564	1444
924	17587	1425
925	17611	1407
926	17634	1388
927	17654	1369
928	17674	1350
929	17698	1332
930	17717	1313
931	17733	1293
932	17753	1274
933	17773	1255
934	17790	1236
935	17807	1217
936	17827	1198
937	17842	1179
938	17862	1160
939	17880	1141
940	17902	1122
941	17922	1103
942	17943	1084
943	17959	1065
944	17978	1046
945	17997	1027
946	18015	1008
947	18032	989
948	18048	969
949	18067	950
950	18090	932
951	18113	913
952	18134	894
953	18152	875
954	18170	856
955	18190	837
956	18214	818
957	18240	799
958	18257	780
959	18273	761
960	18292	742
961	18310	723
962	18328	704
963	18351	685
964	18374	666
965	18393	647
966	18411	628
967	18430	609
968	18449	590
969	18469	571
970	18491	552
971	18513	533
972	18533	514
973	18556	495
974	18577	476
975	18602	457
976	18629	438
977	18647	419
978	18667	400
979	18686	381
980	18705	362
981	18724	343
982	18745	324
983	18762	305
984	18781	286
985	18799	266
986	18816	247
987	18834	228
988	18854	209
989	18872	190
990	18890	171
991	18907	152
992	18925	133
993	18944	114
994	18965	95
995	18984	76
996	19003	57
997	19025	38
998	19046	19
999	19065	0
